Image,ASM-1-0,energy-1-0,homogeneity-1-0,dissimilarity-1-0,ASM-1-45,energy-1-45,homogeneity-1-45,ASM-1-90,energy-1-90,homogeneity-1-90,ASM-1-135,energy-1-135,homogeneity-1-135,ASM-2-0,energy-2-0,ASM-2-45,energy-2-45,ASM-2-90,energy-2-90,ASM-2-135,energy-2-135,homogeneity-2-135,ASM-3-0,energy-3-0,homogeneity-3-0,dissimilarity-3-0,ASM-3-45,energy-3-45,homogeneity-3-45,dissimilarity-3-45,ASM-3-90,energy-3-90,homogeneity-3-90,dissimilarity-3-90,ASM-3-135,energy-3-135,homogeneity-3-135,output
/content/gdrive/My Drive/Colab Notebooks/feature/8-2-rs.jpg,0.78970892,0.88865568,0.55739645,0.88625904,0.78670042,0.88696134,0.55838264,0.78670042,0.88696134,0.55838264,0.78670042,0.88696134,0.55838264,0.78470339,0.88583486,0.77974109,0.88302949,0.77974109,0.88302949,0.78670042,0.88696134,0.55838264,0.78370747,0.88527254,0.55936884,0.88231427,0.78271328,0.88471085,0.55969757,0.8816568,0.78271328,0.88471085,0.55969757,0.8816568,0.78670042,0.88696134,0.55838264,1
/content/gdrive/My Drive/Colab Notebooks/feature/8-3-rs.jpg,0.74476289,0.86299646,0.56798159,0.86719264,0.74179069,0.86127272,0.56844181,0.74179069,0.86127272,0.56844181,0.74179069,0.86127272,0.56844181,0.73975736,0.86009148,0.74196705,0.86137509,0.74196705,0.86137509,0.74179069,0.86127272,0.56844181,0.74945719,0.86571196,0.56633794,0.87047995,0.75419473,0.86844385,0.56469428,0.87376726,0.75419473,0.86844385,0.56469428,0.87376726,0.74179069,0.86127272,0.56844181,1
/content/gdrive/My Drive/Colab Notebooks/feature/8-4-rs.jpg,0.93273742,0.96578332,0.51742275,0.9651545,0.93518745,0.96705091,0.51676529,0.93518745,0.96705091,0.51676529,0.93518745,0.96705091,0.51676529,0.92785811,0.96325392,0.93024763,0.96449346,0.93024763,0.96449346,0.93518745,0.96705091,0.51676529,0.94505674,0.97214029,0.51413544,0.97172913,0.93518745,0.96705091,0.51676529,0.96646943,0.93518745,0.96705091,0.51676529,0.96646943,0.93518745,0.96705091,0.51676529,1
/content/gdrive/My Drive/Colab Notebooks/feature/9-1-rs.jpg,0.74751896,0.86459179,0.56351085,0.87771203,0.74420441,0.86267283,0.56291913,0.74420441,0.86267283,0.56291913,0.74420441,0.86267283,0.56291913,0.74751896,0.86459179,0.7282334,0.85336592,0.7282334,0.85336592,0.74420441,0.86267283,0.56291913,0.7387355,0.85949724,0.56541749,0.87442472,0.73996484,0.86021209,0.56265615,0.88099934,0.73996484,0.86021209,0.56265615,0.88099934,0.74420441,0.86267283,0.56291913,1
/content/gdrive/My Drive/Colab Notebooks/feature/9-2-rs.jpg,0.79828316,0.89346693,0.5477975,0.90861275,0.79701233,0.89275547,0.54707429,0.79701233,0.89275547,0.54707429,0.79701233,0.89275547,0.54707429,0.80197636,0.89553133,0.79574668,0.89204635,0.79574668,0.89204635,0.79701233,0.89275547,0.54707429,0.80115853,0.8950746,0.54575937,0.91321499,0.79289379,0.89044584,0.54838922,0.90795529,0.79289379,0.89044584,0.54838922,0.90795529,0.79701233,0.89275547,0.54707429,1
/content/gdrive/My Drive/Colab Notebooks/feature/9-3-rs.jpg,0.87896298,0.93753026,0.52905983,0.94345825,0.87437415,0.93507975,0.53037475,0.87437415,0.93507975,0.53037475,0.87437415,0.93507975,0.53037475,0.87666511,0.93630396,0.86851621,0.93194217,0.86851621,0.93194217,0.87437415,0.93507975,0.53037475,0.86302309,0.92899036,0.53366206,0.93425378,0.86624599,0.93072337,0.53162393,0.93885602,0.86624599,0.93072337,0.53162393,0.93885602,0.87437415,0.93507975,0.53037475,1
/content/gdrive/My Drive/Colab Notebooks/feature/9-4-rs.jpg,0.70019205,0.83677479,0.58198554,0.84023669,0.68153499,0.82555133,0.58625904,0.68153499,0.82555133,0.58625904,0.68153499,0.82555133,0.58625904,0.67398693,0.82096707,0.68175545,0.82568483,0.68175545,0.82568483,0.68153499,0.82555133,0.58625904,0.68920928,0.83018629,0.58382643,0.83760684,0.68384238,0.82694763,0.58717949,0.83037475,0.68384238,0.82694763,0.58717949,0.83037475,0.68153499,0.82555133,0.58625904,1
/content/gdrive/My Drive/Colab Notebooks/feature/11-1-rs.jpg,0.90957193,0.95371481,0.52156476,0.95792242,0.91446853,0.95627848,0.52130178,0.91446853,0.95627848,0.52130178,0.91446853,0.95627848,0.52130178,0.89877416,0.94803701,0.89883468,0.94806892,0.89883468,0.94806892,0.91446853,0.95627848,0.52130178,0.9071876,0.95246397,0.52222222,0.9566075,0.90125705,0.94934559,0.52386588,0.95332018,0.90125705,0.94934559,0.52386588,0.95332018,0.91446853,0.95627848,0.52130178,0
/content/gdrive/My Drive/Colab Notebooks/feature/11-2-rs.jpg,0.86012351,0.92742844,0.53011177,0.94345825,0.86686585,0.93105631,0.52761341,0.86686585,0.93105631,0.52761341,0.86686585,0.93105631,0.52761341,0.85899446,0.92681954,0.86246029,0.9286874,0.86246029,0.9286874,0.86686585,0.93105631,0.52761341,0.86238681,0.92864784,0.52945431,0.94477318,0.86012351,0.92742844,0.53011177,0.94345825,0.86012351,0.92742844,0.53011177,0.94345825,0.86686585,0.93105631,0.52761341,0
/content/gdrive/My Drive/Colab Notebooks/feature/11-3-rs.jpg,0.79007375,0.88886093,0.55042735,0.90335306,0.79289379,0.89044584,0.54838922,0.79289379,0.89044584,0.54838922,0.79289379,0.89044584,0.54838922,0.77883075,0.88251388,0.78448726,0.88571286,0.78448726,0.88571286,0.79289379,0.89044584,0.54838922,0.79416462,0.89115915,0.54911243,0.90598291,0.78057361,0.88350077,0.55180802,0.90138067,0.78057361,0.88350077,0.55180802,0.90138067,0.79289379,0.89044584,0.54838922,0
/content/gdrive/My Drive/Colab Notebooks/feature/11-4-rs.jpg,0.65493306,0.80927935,0.60368179,0.79552926,0.66226673,0.81379772,0.60177515,0.66226673,0.81379772,0.60177515,0.66226673,0.81379772,0.60177515,0.65269484,0.80789531,0.65418526,0.8088172,0.65418526,0.8088172,0.66226673,0.81379772,0.60177515,0.65843434,0.81143967,0.60151216,0.80013149,0.65269484,0.80789531,0.60466798,0.79355687,0.65269484,0.80789531,0.60466798,0.79355687,0.66226673,0.81379772,0.60177515,0
/content/gdrive/My Drive/Colab Notebooks/feature/12-1-rs.jpg,0.84344878,0.91839468,0.5416831,0.91715976,0.84193243,0.91756876,0.53990796,0.84193243,0.91756876,0.53990796,0.84193243,0.91756876,0.53990796,0.83670385,0.91471518,0.83130929,0.91176164,0.83130929,0.91176164,0.84193243,0.91756876,0.53990796,0.83346193,0.91294136,0.54358974,0.91387245,0.84224884,0.91774116,0.54148586,0.91781723,0.84224884,0.91774116,0.54148586,0.91781723,0.84193243,0.91756876,0.53990796,1
/content/gdrive/My Drive/Colab Notebooks/feature/12-2-rs.jpg,0.9116727,0.95481553,0.51775148,0.96712689,0.91532959,0.95672859,0.51729126,0.91532959,0.95672859,0.51729126,0.91532959,0.95672859,0.51729126,0.91056266,0.95423407,0.90453787,0.95107196,0.90453787,0.95107196,0.91532959,0.95672859,0.51729126,0.91891905,0.95860265,0.51577909,0.97107166,0.90927108,0.95355707,0.51840894,0.96581197,0.90927108,0.95355707,0.51840894,0.96581197,0.91532959,0.95672859,0.51729126,1
/content/gdrive/My Drive/Colab Notebooks/feature/12-3-rs.jpg,0.83476907,0.91365698,0.54431295,0.91190007,0.82833191,0.91012741,0.54628534,0.82833191,0.91012741,0.54628534,0.82833191,0.91012741,0.54628534,0.83369189,0.9130673,0.82833191,0.91012741,0.82833191,0.91012741,0.82833191,0.91012741,0.54628534,0.83584799,0.91424722,0.54398422,0.91255753,0.82407505,0.90778579,0.54760026,0.90532544,0.82407505,0.90778579,0.54760026,0.90532544,0.82833191,0.91012741,0.54628534,1
/content/gdrive/My Drive/Colab Notebooks/feature/12-4-rs.jpg,0.67756602,0.82314398,0.58113083,0.84615385,0.67550502,0.82189112,0.58316897,0.67550502,0.82189112,0.58316897,0.67550502,0.82189112,0.58316897,0.67305153,0.82039718,0.66782468,0.81720541,0.66782468,0.81720541,0.67550502,0.82189112,0.58316897,0.6706136,0.81891001,0.58514135,0.83760684,0.66615271,0.81618179,0.58573307,0.83694938,0.66615271,0.81618179,0.58573307,0.83694938,0.67550502,0.82189112,0.58316897,1
/content/gdrive/My Drive/Colab Notebooks/feature/13-1-rs.jpg,0.78639957,0.88679173,0.5573307,0.8869165,0.78073009,0.88358932,0.56035503,0.78073009,0.88358932,0.56035503,0.78073009,0.88358932,0.56035503,0.78941326,0.88848931,0.79071522,0.88922169,0.79071522,0.88922169,0.78073009,0.88358932,0.56035503,0.79172324,0.88978831,0.55673899,0.88757396,0.79562911,0.89198044,0.55489809,0.89151874,0.79562911,0.89198044,0.55489809,0.89151874,0.78073009,0.88358932,0.56035503,1
/content/gdrive/My Drive/Colab Notebooks/feature/13-2-rs.jpg,0.79622908,0.89231669,0.55299145,0.89612097,0.79027691,0.8889752,0.55548981,0.79027691,0.8889752,0.55548981,0.79027691,0.8889752,0.55548981,0.81329111,0.90182654,0.78840697,0.88792284,0.78840697,0.88792284,0.79027691,0.8889752,0.55548981,0.79475768,0.89149183,0.55575279,0.88954635,0.79056738,0.88913856,0.55654175,0.88823143,0.79056738,0.88913856,0.55654175,0.88823143,0.79027691,0.8889752,0.55548981,1
/content/gdrive/My Drive/Colab Notebooks/feature/13-3-rs.jpg,0.79725093,0.89288909,0.55266272,0.89677844,0.79672185,0.89259277,0.55055884,0.79672185,0.89259277,0.55055884,0.79672185,0.89259277,0.55055884,0.79263098,0.89029825,0.80199971,0.89554436,0.80199971,0.89554436,0.79672185,0.89259277,0.55055884,0.78829977,0.88786247,0.55213675,0.89940828,0.80122424,0.8951113,0.55082183,0.90072321,0.80122424,0.8951113,0.55082183,0.90072321,0.79672185,0.89259277,0.55055884,1
/content/gdrive/My Drive/Colab Notebooks/feature/13-4-rs.jpg,0.88026494,0.93822435,0.52978304,0.94148586,0.87911514,0.9376114,0.53011177,0.87911514,0.9376114,0.53011177,0.87911514,0.9376114,0.53011177,0.86432505,0.92969083,0.87911514,0.9376114,0.87911514,0.9376114,0.87911514,0.9376114,0.53011177,0.87896298,0.93753026,0.52905983,0.94345825,0.86649497,0.93085712,0.53320184,0.93491124,0.86649497,0.93085712,0.53320184,0.93491124,0.87911514,0.9376114,0.53011177,1
/content/gdrive/My Drive/Colab Notebooks/feature/14-1-rs.jpg,0.75641825,0.86972309,0.56160421,0.88099934,0.75036666,0.86623707,0.56252465,0.75036666,0.86623707,0.56252465,0.75036666,0.86623707,0.56252465,0.75227378,0.86733718,0.74391134,0.86250295,0.74391134,0.86250295,0.75036666,0.86623707,0.56252465,0.74407819,0.86259967,0.56587771,0.87245233,0.75243112,0.86742788,0.56239316,0.87968442,0.75243112,0.86742788,0.56239316,0.87968442,0.75036666,0.86623707,0.56252465,0
/content/gdrive/My Drive/Colab Notebooks/feature/14-2-rs.jpg,0.59057698,0.76849007,0.63694938,0.72846811,0.60459938,0.77755989,0.62853386,0.60459938,0.77755989,0.62853386,0.60459938,0.77755989,0.62853386,0.60207673,0.77593604,0.60617625,0.77857322,0.60617625,0.77857322,0.60459938,0.77755989,0.62853386,0.59525227,0.77152593,0.63431953,0.73372781,0.59383965,0.77060992,0.63583169,0.7304405,0.59383965,0.77060992,0.63583169,0.7304405,0.60459938,0.77755989,0.62853386,0
/content/gdrive/My Drive/Colab Notebooks/feature/14-3-rs.jpg,0.65574743,0.80978234,0.6052597,0.79158448,0.65333544,0.80829168,0.60762656,0.65333544,0.80829168,0.60762656,0.65333544,0.80829168,0.60762656,0.65692144,0.8105069,0.64102045,0.80063753,0.64102045,0.80063753,0.65333544,0.80829168,0.60762656,0.64927569,0.80577645,0.60683761,0.78895464,0.64955406,0.80594917,0.60736358,0.78763971,0.64955406,0.80594917,0.60736358,0.78763971,0.65333544,0.80829168,0.60762656,0
