Image,contrast-1-0,ASM-1-0,energy-1-0,homogeneity-1-0,dissimilarity-1-0,contrast-1-45,ASM-1-45,energy-1-45,homogeneity-1-45,dissimilarity-1-45,contrast-1-90,ASM-1-90,energy-1-90,homogeneity-1-90,dissimilarity-1-90,contrast-1-135,ASM-1-135,energy-1-135,homogeneity-1-135,dissimilarity-1-135,contrast-2-0,ASM-2-0,energy-2-0,homogeneity-2-0,dissimilarity-2-0,contrast-2-45,ASM-2-45,energy-2-45,homogeneity-2-45,dissimilarity-2-45,contrast-2-90,ASM-2-90,energy-2-90,homogeneity-2-90,dissimilarity-2-90,contrast-2-135,ASM-2-135,energy-2-135,homogeneity-2-135,dissimilarity-2-135,contrast-3-0,ASM-3-0,energy-3-0,homogeneity-3-0,dissimilarity-3-0,contrast-3-45,ASM-3-45,energy-3-45,homogeneity-3-45,dissimilarity-3-45,contrast-3-90,ASM-3-90,energy-3-90,homogeneity-3-90,dissimilarity-3-90,contrast-3-135,ASM-3-135,energy-3-135,homogeneity-3-135,dissimilarity-3-135,L,a*,b*,output
/content/gdrive/My Drive/Colab Notebooks/feature/21-2-rs.jpg,0.97107166,0.81281217,0.90156096,0.5365549,0.93425378,0.96449704,0.80220459,0.89565875,0.53984221,0.92767916,0.96449704,0.80220459,0.89565875,0.53984221,0.92767916,0.96449704,0.80220459,0.89565875,0.53984221,0.92767916,0.96055227,0.79592304,0.89214519,0.5418146,0.92373439,0.96318212,0.7915659,0.88969989,0.54207758,0.92373439,0.96318212,0.7915659,0.88969989,0.54207758,0.92373439,0.96449704,0.80220459,0.89565875,0.53984221,0.92767916,0.96778435,0.79886412,0.89379199,0.53977646,0.92833662,0.95923734,0.78537771,0.88621539,0.54404997,0.91978961,0.95923734,0.78537771,0.88621539,0.54404997,0.91978961,0.96449704,0.80220459,0.89565875,0.53984221,0.92767916,18.6892,-0.0754,10.7128,0
/content/gdrive/My Drive/Colab Notebooks/feature/21-3-rs.jpg,0.99605523,0.99214158,0.99606304,0.50197239,0.99605523,0.99605523,0.99214158,0.99606304,0.50197239,0.99605523,0.99605523,0.99214158,0.99606304,0.50197239,0.99605523,0.99605523,0.99214158,0.99606304,0.50197239,0.99605523,0.9947403,0.98953593,0.99475421,0.50262985,0.9947403,0.99671269,0.99344699,0.99671811,0.50164366,0.99671269,0.99671269,0.99344699,0.99671811,0.50164366,0.99671269,0.99605523,0.99214158,0.99606304,0.50197239,0.99605523,0.99342538,0.98693721,0.99344713,0.50328731,0.99342538,0.99671269,0.99344699,0.99671811,0.50164366,0.99671269,0.99671269,0.99344699,0.99671811,0.50164366,0.99671269,0.99605523,0.99214158,0.99606304,0.50197239,0.99605523,18.9327,-1.0913,10.3436,0
/content/gdrive/My Drive/Colab Notebooks/feature/21-4-rs.jpg,0.98290598,0.96639638,0.98305462,0.50854701,0.98290598,0.97961867,0.96006814,0.97983067,0.51019066,0.97961867,0.97961867,0.96006814,0.97983067,0.51019066,0.97961867,0.97961867,0.96006814,0.97983067,0.51019066,0.97961867,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.97961867,0.96006814,0.97983067,0.51019066,0.97961867,0.98027613,0.96133033,0.98047454,0.50986193,0.98027613,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.97961867,0.96006814,0.97983067,0.51019066,0.97961867,17.5339,-1.0662,10.4483,0
/content/gdrive/My Drive/Colab Notebooks/feature/22-1-rs.jpg,0.9408284,0.86997896,0.93272663,0.53274162,0.9355687,0.94477318,0.87682072,0.93638706,0.53076923,0.93951348,0.94477318,0.87682072,0.93638706,0.53076923,0.93951348,0.94477318,0.87682072,0.93638706,0.53076923,0.93951348,0.9460881,0.87911514,0.9376114,0.53011177,0.9408284,0.94674556,0.88026494,0.93822435,0.52978304,0.94148586,0.94674556,0.88026494,0.93822435,0.52978304,0.94148586,0.94477318,0.87682072,0.93638706,0.53076923,0.93951348,0.94740302,0.88141647,0.93883783,0.52945431,0.94214333,0.95069034,0.88720006,0.94191298,0.52781065,0.94543064,0.95069034,0.88720006,0.94191298,0.52781065,0.94543064,0.94477318,0.87682072,0.93638706,0.53076923,0.93951348,19.572,-0.407,11.9228,0
/content/gdrive/My Drive/Colab Notebooks/feature/22-2-rs.jpg,0.83037475,0.69295694,0.83244035,0.59033531,0.82117028,0.843524,0.69536375,0.83388473,0.5869165,0.82905983,0.843524,0.69536375,0.83388473,0.5869165,0.82905983,0.843524,0.69536375,0.83388473,0.5869165,0.82905983,0.83497699,0.69521246,0.83379401,0.58882314,0.82445759,0.83892176,0.69308921,0.8325198,0.58842867,0.82577252,0.83892176,0.69308921,0.8325198,0.58842867,0.82577252,0.843524,0.69536375,0.83388473,0.5869165,0.82905983,0.85009862,0.69659827,0.83462463,0.5852071,0.8330046,0.83629191,0.68977986,0.83052986,0.58974359,0.82314267,0.83629191,0.68977986,0.83052986,0.58974359,0.82314267,0.843524,0.69536375,0.83388473,0.5869165,0.82905983,16.616,-0.8884,9.868,0
/content/gdrive/My Drive/Colab Notebooks/feature/22-3-rs.jpg,0.9355687,0.72987511,0.85432728,0.55982906,0.88954635,0.93491124,0.72123949,0.8492582,0.5617357,0.88625904,0.93491124,0.72123949,0.8492582,0.5617357,0.88625904,0.93491124,0.72123949,0.8492582,0.5617357,0.88625904,0.9355687,0.70700009,0.84083298,0.56456279,0.8816568,0.93622617,0.71544552,0.84584013,0.56265615,0.88494412,0.93622617,0.71544552,0.84584013,0.56265615,0.88494412,0.93491124,0.72123949,0.8492582,0.5617357,0.88625904,0.93228139,0.72908927,0.85386724,0.56068376,0.88757396,0.93491124,0.71362658,0.84476422,0.56331361,0.88362919,0.93491124,0.71362658,0.84476422,0.56331361,0.88362919,0.93491124,0.72123949,0.8492582,0.5617357,0.88625904,18.0694,-0.8776,11.8713,0
/content/gdrive/My Drive/Colab Notebooks/feature/22-4-rs.jpg,0.89940828,0.74468681,0.86295238,0.56449704,0.87573964,0.89546351,0.74297335,0.86195902,0.56568047,0.8731098,0.89546351,0.74297335,0.86195902,0.56568047,0.8731098,0.89546351,0.74297335,0.86195902,0.56568047,0.8731098,0.89809336,0.72731874,0.85282984,0.56831032,0.86916502,0.88560158,0.73294672,0.85612308,0.56982249,0.86456279,0.88560158,0.73294672,0.85612308,0.56982249,0.86456279,0.89546351,0.74297335,0.86195902,0.56568047,0.8731098,0.88823143,0.74441708,0.86279608,0.56692965,0.86982249,0.90138067,0.735778,0.85777503,0.56587771,0.87376726,0.90138067,0.735778,0.85777503,0.56587771,0.87376726,0.89546351,0.74297335,0.86195902,0.56568047,0.8731098,19.153,-0.089,10.6773,0
/content/gdrive/My Drive/Colab Notebooks/feature/23-1-rs.jpg,0.84155161,0.61103482,0.78168716,0.60762656,0.79421433,0.82577252,0.60384553,0.77707498,0.61314924,0.78238001,0.82577252,0.60384553,0.77707498,0.61314924,0.78238001,0.82577252,0.60384553,0.77707498,0.61314924,0.78238001,0.81722551,0.6040582,0.77721181,0.61505588,0.77777778,0.81722551,0.59262588,0.76982198,0.6182117,0.77251808,0.81722551,0.59262588,0.76982198,0.6182117,0.77251808,0.82577252,0.60384553,0.77707498,0.61314924,0.78238001,0.8382643,0.61362317,0.78334103,0.60769231,0.79355687,0.83103222,0.61213102,0.78238802,0.60973044,0.78895464,0.83103222,0.61213102,0.78238802,0.60973044,0.78895464,0.82577252,0.60384553,0.77707498,0.61314924,0.78238001,18.4248,-1.3979,11.6676,1
/content/gdrive/My Drive/Colab Notebooks/feature/23-2-rs.jpg,0.95792242,0.91938588,0.95884612,0.52103879,0.95792242,0.95529257,0.91458265,0.95633815,0.52235371,0.95529257,0.95529257,0.91458265,0.95633815,0.52235371,0.95529257,0.95529257,0.91458265,0.95633815,0.52235371,0.95529257,0.95397765,0.91219141,0.95508712,0.52301118,0.95397765,0.95792242,0.91938588,0.95884612,0.52103879,0.95792242,0.95792242,0.91938588,0.95884612,0.52103879,0.95792242,0.95529257,0.91458265,0.95633815,0.52235371,0.95529257,0.96186719,0.92664261,0.96262278,0.5190664,0.96186719,0.96318212,0.92907535,0.96388555,0.51840894,0.96318212,0.96318212,0.92907535,0.96388555,0.51840894,0.96318212,0.95529257,0.91458265,0.95633815,0.52235371,0.95529257,18.383,-1.4211,9.5677,1
/content/gdrive/My Drive/Colab Notebooks/feature/23-3-rs.jpg,0.98487837,0.80044099,0.89467368,0.53596318,0.93754109,0.99211045,0.80346505,0.89636212,0.53392505,0.94214333,0.99211045,0.80346505,0.89636212,0.53392505,0.94214333,0.99211045,0.80346505,0.89636212,0.53392505,0.94214333,0.98553583,0.78440946,0.88566893,0.53879027,0.93293886,0.98882314,0.78113468,0.88381824,0.53872452,0.93359632,0.98882314,0.78113468,0.88381824,0.53872452,0.93359632,0.99211045,0.80346505,0.89636212,0.53392505,0.94214333,0.98750822,0.79605791,0.89222077,0.53622617,0.93754109,0.99539776,0.78727272,0.8872839,0.53622617,0.93885602,0.99539776,0.78727272,0.8872839,0.53622617,0.93885602,0.99211045,0.80346505,0.89636212,0.53392505,0.94214333,17.4476,-1.4091,9.6333,1
/content/gdrive/My Drive/Colab Notebooks/feature/23-4-rs.jpg,0.89151874,0.70338038,0.83867775,0.57475345,0.8573307,0.88954635,0.69349899,0.83276587,0.57731755,0.85272847,0.88954635,0.69349899,0.83276587,0.57731755,0.85272847,0.88954635,0.69349899,0.83276587,0.57731755,0.85272847,0.87836949,0.68628031,0.82842037,0.58132807,0.84418146,0.88823143,0.69540524,0.83390961,0.57718606,0.85272847,0.88823143,0.69540524,0.83390961,0.57718606,0.85272847,0.88954635,0.69349899,0.83276587,0.57731755,0.85272847,0.89546351,0.69397274,0.83305027,0.57593688,0.85601578,0.89546351,0.69760716,0.83522881,0.57514793,0.8573307,0.89546351,0.69760716,0.83522881,0.57514793,0.8573307,0.88954635,0.69349899,0.83276587,0.57731755,0.85272847,18.4458,-1.2415,11.0233,1
/content/gdrive/My Drive/Colab Notebooks/feature/24-1-rs.jpg,0.90138067,0.73190931,0.85551698,0.56666667,0.87245233,0.90203813,0.73670735,0.85831658,0.56554898,0.87442472,0.90203813,0.73670735,0.85831658,0.56554898,0.87442472,0.90203813,0.73670735,0.85831658,0.56554898,0.87442472,0.90401052,0.73561288,0.85767878,0.56535174,0.87508218,0.90138067,0.735778,0.85777503,0.56587771,0.87376726,0.90138067,0.735778,0.85777503,0.56587771,0.87376726,0.90203813,0.73670735,0.85831658,0.56554898,0.87442472,0.90335306,0.73857125,0.85940168,0.56489152,0.87573964,0.90072321,0.72714757,0.85272948,0.56778435,0.87047995,0.90072321,0.72714757,0.85272948,0.56778435,0.87047995,0.90203813,0.73670735,0.85831658,0.56554898,0.87442472,16.5935,-1.0479,10.5219,1
/content/gdrive/My Drive/Colab Notebooks/feature/24-2-rs.jpg,0.92833662,0.79622044,0.89231185,0.54845496,0.90729783,0.91584484,0.78110615,0.8838021,0.5539119,0.89612097,0.91584484,0.78110615,0.8838021,0.5539119,0.89612097,0.91584484,0.78110615,0.8838021,0.5539119,0.89612097,0.92899408,0.7804448,0.88342787,0.55128205,0.9026956,0.921762,0.7902017,0.8889329,0.55095332,0.90203813,0.921762,0.7902017,0.8889329,0.55095332,0.90203813,0.91584484,0.78110615,0.8838021,0.5539119,0.89612097,0.92439185,0.79007375,0.88886093,0.55042735,0.90335306,0.921762,0.78601054,0.88657235,0.55174227,0.90072321,0.921762,0.78601054,0.88657235,0.55174227,0.90072321,0.91584484,0.78110615,0.8838021,0.5539119,0.89612097,18.0905,-0.726,11.2274,1
/content/gdrive/My Drive/Colab Notebooks/feature/24-3-rs.jpg,0.8573307,0.72451772,0.85118607,0.57764629,0.84681131,0.85601578,0.72273855,0.85014031,0.57830375,0.84549638,0.85601578,0.72273855,0.85014031,0.57830375,0.84549638,0.85601578,0.72273855,0.85014031,0.57830375,0.84549638,0.8678501,0.71622358,0.84629994,0.57712032,0.84944116,0.86193294,0.71574291,0.84601591,0.57850099,0.84615385,0.86193294,0.71574291,0.84601591,0.57850099,0.84615385,0.85601578,0.72273855,0.85014031,0.57830375,0.84549638,0.85075608,0.71569104,0.84598525,0.5809336,0.84023669,0.86522025,0.71642242,0.8464174,0.57764629,0.84812623,0.86522025,0.71642242,0.8464174,0.57764629,0.84812623,0.85601578,0.72273855,0.85014031,0.57830375,0.84549638,17.4248,-1.5737,10.2842,1
/content/gdrive/My Drive/Colab Notebooks/feature/24-4-rs.jpg,0.94740302,0.84465046,0.91904867,0.53576594,0.93162393,0.95529257,0.84891078,0.92136354,0.53339908,0.93688363,0.95529257,0.84891078,0.92136354,0.53339908,0.93688363,0.95529257,0.84891078,0.92136354,0.53339908,0.93688363,0.95200526,0.8524207,0.92326632,0.53346483,0.93622617,0.9460881,0.84244595,0.91784854,0.53642341,0.93030901,0.9460881,0.84244595,0.91784854,0.53642341,0.93030901,0.95529257,0.84891078,0.92136354,0.53339908,0.93688363,0.93885602,0.83044478,0.91128743,0.54003945,0.92307692,0.9408284,0.83369708,0.91307014,0.53905325,0.92504931,0.9408284,0.83369708,0.91307014,0.53905325,0.92504931,0.95529257,0.84891078,0.92136354,0.53339908,0.93688363,16.6629,-0.5556,8.5547,1
/content/gdrive/My Drive/Colab Notebooks/feature/25-1-rs.jpg,0.84549638,0.67330051,0.82054891,0.59145299,0.82182774,0.85338593,0.67605485,0.82222554,0.58908613,0.82708744,0.85338593,0.67605485,0.82222554,0.58908613,0.82708744,0.85338593,0.67605485,0.82222554,0.58908613,0.82708744,0.85404339,0.66317706,0.81435684,0.59191321,0.82248521,0.8573307,0.67054617,0.81886884,0.5894806,0.82708744,0.8573307,0.67054617,0.81886884,0.5894806,0.82708744,0.85338593,0.67605485,0.82222554,0.58908613,0.82708744,0.85864563,0.67560357,0.82195108,0.58803419,0.82971729,0.85667324,0.66633426,0.816293,0.59059829,0.82511506,0.85667324,0.66633426,0.816293,0.59059829,0.82511506,0.85338593,0.67605485,0.82222554,0.58908613,0.82708744,18.1348,-0.4121,9.9322,1
/content/gdrive/My Drive/Colab Notebooks/feature/25-2-rs.jpg,0.97764629,0.95629195,0.97790181,0.51117686,0.97764629,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.98290598,0.96639638,0.98305462,0.50854701,0.98290598,0.98290598,0.96639638,0.98305462,0.50854701,0.98290598,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.98027613,0.96133033,0.98047454,0.50986193,0.98027613,0.97961867,0.96006814,0.97983067,0.51019066,0.97961867,0.97961867,0.96006814,0.97983067,0.51019066,0.97961867,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,17.3207,0.468,6.7242,1
/content/gdrive/My Drive/Colab Notebooks/feature/25-3-rs.jpg,0.9408284,0.86077363,0.92777887,0.53431953,0.93293886,0.94148586,0.86189749,0.92838435,0.5339908,0.93359632,0.94148586,0.86189749,0.92838435,0.5339908,0.93359632,0.94148586,0.86189749,0.92838435,0.5339908,0.93359632,0.9355687,0.86095345,0.92787577,0.53537147,0.93030901,0.93491124,0.84622214,0.91990333,0.53806706,0.92570677,0.93491124,0.84622214,0.91990333,0.53806706,0.92570677,0.94148586,0.86189749,0.92838435,0.5339908,0.93359632,0.93688363,0.84502393,0.91925183,0.53786982,0.92636423,0.94345825,0.86068631,0.92773181,0.53379356,0.93425378,0.94345825,0.86068631,0.92773181,0.53379356,0.93425378,0.94148586,0.86189749,0.92838435,0.5339908,0.93359632,17.2695,0.1119,8.0374,1
/content/gdrive/My Drive/Colab Notebooks/feature/25-4-rs.jpg,1.00788955,0.95353415,0.97649073,0.50552268,0.99211045,1.00197239,0.95736221,0.97844888,0.5061144,0.99013807,1.00197239,0.95736221,0.97844888,0.5061144,0.99013807,1.00197239,0.95736221,0.97844888,0.5061144,0.99013807,0.9947403,0.94856493,0.97394298,0.50894149,0.98422091,1.00197239,0.9522979,0.97585752,0.50690335,0.98882314,1.00197239,0.9522979,0.97585752,0.50690335,0.98882314,1.00197239,0.95736221,0.97844888,0.5061144,0.99013807,1,0.95864169,0.97910249,0.50631164,0.9894806,0.99737015,0.95358948,0.97651906,0.50762656,0.98685076,0.99737015,0.95358948,0.97651906,0.50762656,0.98685076,1.00197239,0.95736221,0.97844888,0.5061144,0.99013807,19.0419,-0.5895,10.5093,1
