Image,contrast-1-0,ASM-1-0,energy-1-0,homogeneity-1-0,dissimilarity-1-0,contrast-1-45,ASM-1-45,energy-1-45,homogeneity-1-45,dissimilarity-1-45,contrast-1-90,ASM-1-90,energy-1-90,homogeneity-1-90,dissimilarity-1-90,contrast-1-135,ASM-1-135,energy-1-135,homogeneity-1-135,dissimilarity-1-135,contrast-2-0,ASM-2-0,energy-2-0,homogeneity-2-0,dissimilarity-2-0,contrast-2-45,ASM-2-45,energy-2-45,homogeneity-2-45,dissimilarity-2-45,contrast-2-90,ASM-2-90,energy-2-90,homogeneity-2-90,dissimilarity-2-90,contrast-2-135,ASM-2-135,energy-2-135,homogeneity-2-135,dissimilarity-2-135,contrast-3-0,ASM-3-0,energy-3-0,homogeneity-3-0,dissimilarity-3-0,contrast-3-45,ASM-3-45,energy-3-45,homogeneity-3-45,dissimilarity-3-45,contrast-3-90,ASM-3-90,energy-3-90,homogeneity-3-90,dissimilarity-3-90,contrast-3-135,ASM-3-135,energy-3-135,homogeneity-3-135,dissimilarity-3-135,L,a*,b*,output
/content/gdrive/My Drive/Colab Notebooks/feature/18-4-rs.jpg,0.90729783,0.81433717,0.90240632,0.5495069,0.90203813,0.90927022,0.81748573,0.90414917,0.54852071,0.90401052,0.90927022,0.81748573,0.90414917,0.54852071,0.90401052,0.90927022,0.81748573,0.90414917,0.54852071,0.90401052,0.90006575,0.8029256,0.89606116,0.55312295,0.89480605,0.90598291,0.80795361,0.8988624,0.55095332,0.89940828,0.90598291,0.80795361,0.8988624,0.55095332,0.89940828,0.90927022,0.81748573,0.90414917,0.54852071,0.90401052,0.90401052,0.80912416,0.89951329,0.55115056,0.89875082,0.90664037,0.80471514,0.89705916,0.55141354,0.89875082,0.90664037,0.80471514,0.89705916,0.55141354,0.89875082,0.90927022,0.81748573,0.90414917,0.54852071,0.90401052,18.1062,1.4838,11.3108,0
/content/gdrive/My Drive/Colab Notebooks/feature/19-1-rs.jpg,0.96975674,0.92159731,0.9599986,0.51827745,0.96449704,0.96909928,0.92038699,0.95936802,0.51860618,0.96383958,0.96909928,0.92038699,0.95936802,0.51860618,0.96383958,0.96909928,0.92038699,0.95936802,0.51860618,0.96383958,0.96318212,0.90957193,0.95371481,0.52156476,0.95792242,0.96909928,0.92038699,0.95936802,0.51860618,0.96383958,0.96909928,0.92038699,0.95936802,0.51860618,0.96383958,0.96909928,0.92038699,0.95936802,0.51860618,0.96383958,0.96844181,0.9191784,0.95873792,0.51893491,0.96318212,0.96778435,0.91797154,0.95810831,0.51926364,0.96252465,0.96778435,0.91797154,0.95810831,0.51926364,0.96252465,0.96909928,0.92038699,0.95936802,0.51860618,0.96383958,17.9394,-1.2447,8.949,1
/content/gdrive/My Drive/Colab Notebooks/feature/19-2-rs.jpg,0.9460881,0.87911514,0.9376114,0.53011177,0.9408284,0.95069034,0.87315345,0.93442681,0.53017751,0.94148586,0.95069034,0.87315345,0.93442681,0.53017751,0.94148586,0.95069034,0.87315345,0.93442681,0.53017751,0.94148586,0.9460881,0.86981298,0.93263764,0.53168968,0.93819855,0.95003287,0.87201143,0.93381552,0.53050625,0.9408284,0.95003287,0.87201143,0.93381552,0.53050625,0.9408284,0.95069034,0.87315345,0.93442681,0.53017751,0.94148586,0.94871795,0.87437415,0.93507975,0.53037475,0.9408284,0.94543064,0.86867701,0.93202844,0.53201841,0.93754109,0.94543064,0.86867701,0.93202844,0.53201841,0.93754109,0.95069034,0.87315345,0.93442681,0.53017751,0.94148586,18.2766,-1.9168,9.4061,1
/content/gdrive/My Drive/Colab Notebooks/feature/19-3-rs.jpg,0.90138067,0.77160775,0.87841206,0.55877712,0.88560158,0.8921762,0.75801587,0.87064107,0.56337936,0.87639711,0.8921762,0.75801587,0.87064107,0.56337936,0.87639711,0.8921762,0.75801587,0.87064107,0.56337936,0.87639711,0.88757396,0.75134702,0.86680276,0.56568047,0.87179487,0.8921762,0.75801587,0.87064107,0.56337936,0.87639711,0.8921762,0.75801587,0.87064107,0.56337936,0.87639711,0.8921762,0.75801587,0.87064107,0.56337936,0.87639711,0.89875082,0.75961868,0.87156106,0.56166995,0.88034188,0.89086128,0.75610184,0.86954117,0.56403682,0.87508218,0.89086128,0.75610184,0.86954117,0.56403682,0.87508218,0.8921762,0.75801587,0.87064107,0.56337936,0.87639711,17.6593,-2.7508,10.5773,1
/content/gdrive/My Drive/Colab Notebooks/feature/19-4-rs.jpg,0.94148586,0.84373235,0.91854904,0.53714661,0.92833662,0.94674556,0.83905879,0.91600152,0.53688363,0.92965155,0.94674556,0.83905879,0.91600152,0.53688363,0.92965155,0.94674556,0.83905879,0.91600152,0.53688363,0.92965155,0.9513478,0.85130548,0.92266217,0.53379356,0.9355687,0.95069034,0.85019199,0.92205856,0.53412229,0.93491124,0.95069034,0.85019199,0.92205856,0.53412229,0.93491124,0.94674556,0.83905879,0.91600152,0.53688363,0.92965155,0.94740302,0.84465046,0.91904867,0.53576594,0.93162393,0.94543064,0.83686984,0.9148059,0.53754109,0.92833662,0.94543064,0.83686984,0.9148059,0.53754109,0.92833662,0.94674556,0.83905879,0.91600152,0.53688363,0.92965155,18.8481,-1.4243,9.5353,1
/content/gdrive/My Drive/Colab Notebooks/feature/20-1-rs.jpg,0.95792242,0.91938588,0.95884612,0.52103879,0.95792242,0.95266272,0.90980708,0.95383808,0.52366864,0.95266272,0.95266272,0.90980708,0.95383808,0.52366864,0.95266272,0.95266272,0.90980708,0.95383808,0.52366864,0.95266272,0.94871795,0.9026956,0.95010294,0.52564103,0.94871795,0.95069034,0.90624356,0.95196825,0.52465483,0.95069034,0.95069034,0.90624356,0.95196825,0.52465483,0.95069034,0.95266272,0.90980708,0.95383808,0.52366864,0.95266272,0.95397765,0.91219141,0.95508712,0.52301118,0.95397765,0.95069034,0.90624356,0.95196825,0.52465483,0.95069034,0.95069034,0.90624356,0.95196825,0.52465483,0.95069034,0.95266272,0.90980708,0.95383808,0.52366864,0.95266272,20.4502,-0.7267,13.115,1
/content/gdrive/My Drive/Colab Notebooks/feature/20-2-rs.jpg,0.93951348,0.88634419,0.94145855,0.53024326,0.93951348,0.93951348,0.88634419,0.94145855,0.53024326,0.93951348,0.93951348,0.88634419,0.94145855,0.53024326,0.93951348,0.93951348,0.88634419,0.94145855,0.53024326,0.93951348,0.93688363,0.88173461,0.93900725,0.53155819,0.93688363,0.93754109,0.88288441,0.93961929,0.53122945,0.93754109,0.93754109,0.88288441,0.93961929,0.53122945,0.93754109,0.93951348,0.88634419,0.94145855,0.53024326,0.93951348,0.93951348,0.88634419,0.94145855,0.53024326,0.93951348,0.9408284,0.88865936,0.94268731,0.5295858,0.9408284,0.9408284,0.88865936,0.94268731,0.5295858,0.9408284,0.93951348,0.88634419,0.94145855,0.53024326,0.93951348,16.8679,2.3602,10.308,1
/content/gdrive/My Drive/Colab Notebooks/feature/20-3-rs.jpg,0.94148586,0.88981954,0.94330246,0.52925707,0.94148586,0.94477318,0.89564636,0.94638594,0.52761341,0.94477318,0.94477318,0.89564636,0.94638594,0.52761341,0.94477318,0.94477318,0.89564636,0.94638594,0.52761341,0.94477318,0.94017094,0.88750091,0.94207267,0.52991453,0.94017094,0.94477318,0.89564636,0.94638594,0.52761341,0.94477318,0.94477318,0.89564636,0.94638594,0.52761341,0.94477318,0.94477318,0.89564636,0.94638594,0.52761341,0.94477318,0.93951348,0.88634419,0.94145855,0.53024326,0.93951348,0.94214333,0.89098144,0.94391813,0.52892834,0.94214333,0.94214333,0.89098144,0.94391813,0.52892834,0.94214333,0.94477318,0.89564636,0.94638594,0.52761341,0.94477318,18.112,-0.5689,10.5799,1
/content/gdrive/My Drive/Colab Notebooks/feature/20-4-rs.jpg,0.91913215,0.85134352,0.92268278,0.54043393,0.91913215,0.91190007,0.83932333,0.91614591,0.54404997,0.91190007,0.91190007,0.83932333,0.91614591,0.54404997,0.91190007,0.91190007,0.83932333,0.91614591,0.54404997,0.91190007,0.90927022,0.83500422,0.91378565,0.54536489,0.90927022,0.91321499,0.83704361,0.91490087,0.54418146,0.91190007,0.91321499,0.83704361,0.91490087,0.54418146,0.91190007,0.91190007,0.83932333,0.91614591,0.54404997,0.91190007,0.90927022,0.83500422,0.91378565,0.54536489,0.90927022,0.91518738,0.84476112,0.91910887,0.54240631,0.91518738,0.91518738,0.84476112,0.91910887,0.54240631,0.91518738,0.91190007,0.83932333,0.91614591,0.54404997,0.91190007,18.4458,-1.2415,11.0233,1
/content/gdrive/My Drive/Colab Notebooks/feature/21-1-rs.jpg,0.94871795,0.84686188,0.92025099,0.53510848,0.93293886,0.94345825,0.84253845,0.91789893,0.53694938,0.92899408,0.94345825,0.84253845,0.91789893,0.53694938,0.92899408,0.94345825,0.84253845,0.91789893,0.53694938,0.92899408,0.93819855,0.82936414,0.91069432,0.54036818,0.92241946,0.94411571,0.83468781,0.9136125,0.53819855,0.9270217,0.94411571,0.83468781,0.9136125,0.53819855,0.9270217,0.94345825,0.84253845,0.91789893,0.53694938,0.92899408,0.95397765,0.84668898,0.92015704,0.53405654,0.9355687,0.94937541,0.84797019,0.92085297,0.53477975,0.93359632,0.94937541,0.84797019,0.92085297,0.53477975,0.93359632,0.94345825,0.84253845,0.91789893,0.53694938,0.92899408,17.3342,0.2805,9.5186,0
